accel,584,-872,-17328
accel,584,-872,-17328
accel,584,-872,-17328
accel,584,-872,-17328
accel,584,-872,-17328
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,448,-1048,-17048
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,792,-1360,-16936
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,440,-1152,-17608
accel,232,-1288,-17360
accel,232,-1288,-17360
accel,232,-1288,-17360
accel,232,-1288,-17360
accel,232,-1288,-17360
accel,232,-1288,-17360
accel,232,-1288,-17360
accel,232,-1288,-17360
accel,232,-1288,-17360
accel,232,-1288,-17360
